,index,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Hour
0,2218,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190702_003000.WAV,GRABADOR-SDZG-AM-1,20190702_003000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,02.07.2019 00:30,60.00046875,,2019-07-02 00:30:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:22:46-08:00,WAV,WAV,audio/x-wav,0.0
1,1934,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_011000.WAV,GRABADOR-SDZG-AM-1,20190630_011000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,30.06.2019 01:10,60.00046875,,2019-06-30 01:10:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:13:50-08:00,WAV,WAV,audio/x-wav,1.0
2,1800,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190629_025000.WAV,GRABADOR-SDZG-AM-1,20190629_025000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,29.06.2019 02:50,60.00046875,,2019-06-29 02:50:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:09:37-08:00,WAV,WAV,audio/x-wav,2.0
3,650,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_031000.WAV,GRABADOR-SDZG-AM-1,20190621_031000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,21.06.2019 03:10,60.00046875,,2019-06-21 03:10:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:33:30-08:00,WAV,WAV,audio/x-wav,3.0
4,2100,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190701_045000.WAV,GRABADOR-SDZG-AM-1,20190701_045000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,01.07.2019 04:50,60.00046875,,2019-07-01 04:50:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:19:03-08:00,WAV,WAV,audio/x-wav,4.0
5,2389,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_050000.WAV,GRABADOR-SDZG-AM-1,20190703_050000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,03.07.2019 05:00,60.00046875,,2019-07-03 05:00:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:28:10-08:00,WAV,WAV,audio/x-wav,5.0
6,1247,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_064000.WAV,GRABADOR-SDZG-AM-1,20190625_064000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,25.06.2019 06:40,60.00046875,,2019-06-25 06:40:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:52:15-08:00,WAV,WAV,audio/x-wav,6.0
7,2115,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190701_072000.WAV,GRABADOR-SDZG-AM-1,20190701_072000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,01.07.2019 07:20,60.00046875,,2019-07-01 07:20:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:19:31-08:00,WAV,WAV,audio/x-wav,7.0
8,395,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_084000.WAV,GRABADOR-SDZG-AM-1,20190619_084000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 08:40,60.00046875,,2019-06-19 08:40:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:25:28-08:00,WAV,WAV,audio/x-wav,8.0
9,2269,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190702_090000.WAV,GRABADOR-SDZG-AM-1,20190702_090000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,02.07.2019 09:00,60.00046875,,2019-07-02 09:00:00,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:24:22-08:00,WAV,WAV,audio/x-wav,9.0
